Date,In,Out,Total_Hours
4 02 2020,12:28,19:55,7:27
3 02 2020,12:31,20:44,8:13
2 02 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
1 02 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
31 01 2020,12:27,21:50,9:23
30 01 2020,12:33,21:36,9:03
29 01 2020,11:36,21:09,9:33
28 01 2020,12:31,21:10,8:39
27 01 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
26 01 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
25 01 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
24 01 2020,13:30,20:41,7:11
23 01 2020,12:32,21:25,8:53
22 01 2020,12:38,20:17,7:39
21 01 2020,12:33,19:56,7:23
20 01 2020,12:35,19:35,7:00
19 01 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
18 01 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
17 01 2020,12:22,19:28,7:06
16 01 2020,12:28,21:09,8:41
15 01 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
14 01 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
13 01 2020,12:25,21:12,8:47
12 01 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
11 01 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
10 01 2020,12:20,14:58,2:38
9 01 2020,12:17,18:52,6:35
8 01 2020,12:22,21:35,9:13
7 01 2020,12:10,19:54,7:44
6 01 2020,12:15,20:26,8:11
5 01 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
4 01 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
3 01 2020,12:16,19:37,7:21
2 01 2020,11:55,20:10,8:15
1 01 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
